Row,FP,OF,PL,IL,Cing,Th_PM,Th_SM,M1,M2,S1,S2,OB,AON,Otu,Pir,DPA,TT,Sept,Nacc,CP,Pall,VP,Cl,Amyg,ZI,I_dors,I_ventr,I_post,Gust,Visc,Perih,Ect,Ent,Temp,ParAss,RS,CA,DG,Sub,SC,PAG,VTA,SN,NclR,RN,MB,Pons,Periv,Hyp,Aud,V,IC
SC,0,0,-0,-0,-0,0,-0,-0,-0,2.21606452036519,-0,-0,0,-0,-0,-0,0,-0,2.26869861893952,0,0,0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,-0,0,2.21304094603185,0,0,0,-0,-0,0,-0
PAG,0,-0,-0,-0,-0,0,0,0,-0,0,0,-0,-0,-0,0,-0,-0,-0,0,-0,0,-0,-0,0,0,0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,0
VTA,0,-0,-0,-0,0,0,0,0,0,0,-0,0,-0,0,0,-0,-0,-0,-0,0,0,0,0,-0,0,2.11196172488977,0,0,0,-0,-0,-0,-0,0,0,0,0,0,-0,0,-0,0,-0,0,-0,0,-0,0,0,-0,0,0
SN,-0,-0,-0,-0,-0,0,0,-0,0,0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,0,0,-0,0,0,-0,-0,0,-0,-0,-0,-0,-0,0,0,0,0,0,-0,-0,0,-0,0,-0,-2.63326609492757,-0,-0,2.22873121000532,0,0,0,0
NclR,-0,-0,-0,-0,-0,0,0,-0,-0,0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,0,0,-0,0,0,-0,-0,0,-0,-0,0,-0,-2.57833992887908,0,0,0,0,0,-0,0,0,0,-0,0,0,0,-0,0,2.91904198834252,0,0,0
RN,0,0,-0,-0,-0,2.32400595173068,0,-0,-0,0,0,-0,0,-0,0,0,-0,-0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,-0,-0,-0,2.24972096290007,0,-0,-0,0,2.21304094603185,0,-0,-2.63326609492757,0,0,0,-0,-0,0,0,0,0
MB,0,0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,-0,0,-0,2.85411286304933,0,0,0,0,0,0,0,0,0,-0,-0,-0,-2.12969336248157,-2.55220435751772,-0,0,0,-0,0,0,0,0,0,-0,0,0,0,-0,2.68101674576906,0,0,0,0
Pons,0,-0,-0,-0,-0,0,-0,0,-0,0,0,-0,-0,-0,0,0,-0,-0,0,2.1107409173034,-0,-0,0,0,-0,0,0,0,-0,0,-0,-0,-0,-0,0,-0,-0,0,-0,0,0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,0
Periv,-0,0,-0,-0,-0,0,0,-2.68906189983868,-0,-0,-0,-2.30241079773644,-0,0,0,-0,-0,-0,0,-0,0,0,-0,0,0,-0,0,-0,-2.18041281318165,0,0,-0,0,-0,-0,-0,2.30461160704944,0,0,0,0,0,2.22873121000532,0,-0,2.68101674576906,-0,0,-0,-0,0,2.24038694410287
Hyp,-0,0,0,0,0,0,0,-2.18669212117866,-0,-0,-0,0,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0,-0,-0,0,-0,0,-0,-0,-0,0,-0,-0,0,0,0,-0,-0,0,0,2.91904198834252,0,0,-0,-0,0,0,0,0
Aud,-0,0,0,-0,0,0,0,-0,-0,0,0,0,-0,-0,0,0,-0,0,0,0,-0,-0,-0,0,2.07345294279399,-0,-0,0,0,-0,0,0,-0,2.69829440042446,3.55026373679663,0,0,0,-0,-0,-0,-0,0,0,0,0,-0,-0,0,0,0,-0
V,0,0,-0,0,0,0,0,-0,0,2.46170306048637,-0,-0,-0,0,-0,-0,0,0,0,0,0,3.07930464468371,-0,-0,2.11953417609998,-0,-0,-0,-0,-0,0,-0,-0,-0,0,0,0,2.142727386583,0,0,0,0,0,0,0,0,-0,0,0,0,0,0
IC,-0,-0,-3.00754768640906,-2.85445396377525,-0,-0,-0,-0,-0,0,0,-2.75452355898379,-0,0,0,-2.50004149156544,-2.6478581946142,-0,-0,0,0,0,-0,0,0,-0,-0,-0,-3.36594610721774,0,-0,0,-0,0,0,-0,-0,-0,0,-0,0,0,0,0,0,0,0,2.24038694410287,0,-0,0,0
