TimeIndex,Mean,SEM,SmoothedMean,SmoothedSEM
309,35924.8549698606,5288.42747092267,34781.699829217,4820.93973354033
310,35953.0242424204,5177.93391120769,34772.9921311365,4811.71968234964
311,35408.2639725788,5248.01421012378,34765.2356715824,4802.93080819833
312,35455.4428533023,5272.56156311644,34757.345437289,4793.89842878105
313,35247.9545501677,5388.3820748806,34749.7699039377,4785.56732798996
314,34980.2724357188,5416.60362108672,34742.6457745663,4777.23887117493
315,34841.164113894,5529.84754110659,34736.6539874644,4769.54600422266
316,34616.2950486629,5690.7696471411,34729.4253345672,4760.12217238828
317,34656.8773120616,5689.41839294073,34723.8327149938,4750.51547642403
318,34603.8307656606,5709.46028642237,34717.4791193805,4741.92545466166
319,34514.5977194371,5642.74274520362,34709.8990998108,4734.74994988693
320,34635.6817440022,5698.7409597241,34701.3770505074,4728.65907460638
321,34750.4715640227,5531.12441152192,34692.118989958,4722.65439576745
322,34530.2310354769,5780.63595435357,34681.4392122373,4718.22778008589
323,34739.9080340289,5708.43640878678,34670.0391896869,4712.41217770726
324,34669.4951000794,5602.38922835795,34658.5706732843,4707.56793616954
325,34672.3322136842,5578.3069447084,34648.5948319996,4702.04385364603
326,34507.5336245766,5438.35639398537,34639.0017754104,4697.2942797248
327,34378.1781234035,5324.14579284195,34632.9578936491,4691.83383095077
328,34380.4723000779,5347.5189739177,34626.2849334839,4686.41556810727
329,34343.0374184037,5311.41076763196,34619.4204132888,4681.71219345164
330,34297.9162540718,5261.90766335011,34613.0962394181,4676.77832916493
331,34284.9196421233,5244.88836406419,34605.4220929666,4671.97555836849
332,34279.0131977001,5262.11629915314,34597.4586478883,4667.4084628216
333,34311.4807172845,5232.81144783428,34589.3095672605,4662.17082429218
334,34367.1203042199,5254.6216883539,34580.2565321825,4656.73900764473
335,34431.8621413548,5253.28389199891,34572.7501702957,4651.86585377335
336,34385.9904358811,5178.87935022914,34564.6347918306,4646.70350441876
337,34413.0385835149,5210.15791328017,34557.7783901942,4641.31877019274
338,34496.73247166,5221.69870329103,34551.4323457333,4635.68791980207
339,34581.7116853306,5238.73183730334,34545.1491545205,4627.51412218569
340,34661.4539254589,5228.89577384853,34537.2414778602,4620.37356278802
341,34672.0227092209,5231.1184032609,34527.9441648733,4614.18552531392
342,34640.4820675936,5199.66942890464,34518.865603831,4608.95815162932
343,34601.1630951989,5115.86183160338,34508.49149647,4604.35511763023
344,34566.2851880664,5186.84326984086,34497.7375177343,4600.27391776614
345,34464.0094607536,5239.79112296355,34487.0047898016,4596.62029355323
346,34483.5749733303,5127.14945705304,34477.1038035425,4594.14675786425
347,34524.1504730481,5078.77970049933,34466.7402005685,4591.3899750358
348,34453.817195635,5112.74836975618,34456.1768090614,4589.00487892638
349,34684.3296962875,5080.92522832159,34445.6187110423,4586.74032788764
350,34483.7469538339,5243.70646738834,34434.8872875228,4585.07560364982
351,34298.8778794843,5464.82111452693,34423.7576512585,4583.26196664423
