"block","animal_ID","lid_TP1","block_label"
"3","6",0.999,"TEST_81_100"
"3","6",0.983,"TEST_81_100"
"3","6",1.027,"TEST_81_100"
"3","6",0.943,"TEST_81_100"
"3","6",0.955,"TEST_81_100"
"3","6",1.059,"TEST_81_100"
"3","6",1.104,"TEST_81_100"
"3","6",0.931,"TEST_81_100"
"3","6",1.013,"TEST_81_100"
"3","6",0.914,"TEST_81_100"
"3","6",0.948,"TEST_81_100"
"3","6",0.99,"TEST_81_100"
"3","6",1.035,"TEST_81_100"
"3","6",0.992,"TEST_81_100"
"4","6",1.004,"TEST_101_120"
"4","6",0.989,"TEST_101_120"
"4","6",1,"TEST_101_120"
"4","6",1.012,"TEST_101_120"
"4","6",0.993,"TEST_101_120"
"4","6",0.958,"TEST_101_120"
"4","6",1.039,"TEST_101_120"
"4","6",0.951,"TEST_101_120"
"4","6",0.966,"TEST_101_120"
"4","6",0.974,"TEST_101_120"
"4","6",1.041,"TEST_101_120"
"4","6",0.995,"TEST_101_120"
"4","6",1.053,"TEST_101_120"
"4","6",1.001,"TEST_101_120"
"4","6",0.769,"TEST_101_120"
"4","6",0.937,"TEST_101_120"
"4","6",1.038,"TEST_101_120"
"4","6",0.994,"TEST_101_120"
"4","6",0.993,"TEST_101_120"
"4","6",1.016,"TEST_101_120"
"5","6",1.02,"TEST_121_140"
"5","6",1.04,"TEST_121_140"
"5","6",1.014,"TEST_121_140"
"5","6",1.025,"TEST_121_140"
"5","6",0.995,"TEST_121_140"
"5","6",1.032,"TEST_121_140"
"5","6",1.039,"TEST_121_140"
"5","6",1.004,"TEST_121_140"
"5","6",1.009,"TEST_121_140"
"5","6",1.027,"TEST_121_140"
"5","6",1.01,"TEST_121_140"
"5","6",1.038,"TEST_121_140"
"5","6",0.969,"TEST_121_140"
"5","6",1.033,"TEST_121_140"
"5","6",1.001,"TEST_121_140"
"5","6",0.99,"TEST_121_140"
"5","6",1.035,"TEST_121_140"
"5","6",1.01,"TEST_121_140"
"5","6",1.071,"TEST_121_140"
"5","6",1.009,"TEST_121_140"
"6","6",0.958,"TEST_141_160"
"6","6",1.007,"TEST_141_160"
"6","6",1.019,"TEST_141_160"
"6","6",1.005,"TEST_141_160"
